leaf,gSum_f32,gSum_f64,gSum_residual,hSum_f32,hSum_f64,hSum_residual,leafVal_f32,leafVal_f64,leafVal_residual
0,32.47449493,32.474494535476,3.986061e-07,49,49,0.000000e+00,-0.01873528585,-0.0187352848901622,9.582170e-10
1,-3.10896945,-3.10896923579276,2.142042e-07,36,36,0.000000e+00,0.002391514834,0.00239151474330914,9.070742e-11
2,8.116071701,8.11607100628316,6.947666e-07,50,50,0.000000e+00,-0.004594002385,-0.00459400235370274,3.098969e-11
3,-25.00873566,-25.0087363440543,6.873161e-07,47,47,0.000000e+00,0.01500524115,0.0150052414710393,3.228655e-10
4,18.4069519,18.4069517850876,1.192093e-07,29,29,0.000000e+00,-0.01725651696,-0.0172565169128064,5.043709e-11
5,-6.818304062,-6.81830425024964,1.883600e-07,38,38,0.000000e+00,0.004989002831,0.00498900299842585,1.671456e-10
6,6.135122776,6.13512383773923,1.061708e-06,36,36,0.000000e+00,-0.004719325341,-0.00471932592354502,5.822607e-10
7,-25.18691635,-25.186913639307,2.712011e-06,45,45,0.000000e+00,0.01574182138,0.0157418206727098,7.057597e-10
8,4.098122597,4.09812271595001,1.192093e-07,5,5,0.000000e+00,-0.01536795963,-0.0153679598413119,2.152929e-10
9,0.01143231802,0.0114323180168867,0.000000e+00,1,1,0.000000e+00,-8.574238018e-05,-8.57423832101587e-05,3.031160e-12
10,-0.2028820366,-0.202882036566734,0.000000e+00,1,1,0.000000e+00,0.001521615195,0.00152161524023976,4.515167e-11
11,-0.7321625948,-0.732162609696388,1.490116e-08,2,2,0.000000e+00,0.004392975476,0.00439297555998767,8.434857e-11
12,3.169726849,3.16972661018372,2.384186e-07,4,4,0.000000e+00,-0.01358454302,-0.0135845423114349,7.080983e-10
13,-0.2923758924,-0.292375897988677,5.587935e-09,3,3,0.000000e+00,0.001461879467,0.00146187945726783,9.392489e-12
14,-0.06182701141,-0.0618270114064217,0.000000e+00,2,2,0.000000e+00,0.0003709620796,0.000370962060146882,1.946752e-11
